id,name,path,state,created_at,updated_at
299361462,SPY Weekly Global Random Train Yearly Calmar Beat Counts,.github/workflows/spy-weekly-global-random-train-yearly-calmar-beat-counts.yml,active,2026-06-20T16:27:56.000+02:00,2026-06-20T16:27:56.000+02:00
299423069,Minervini SEPA MarketCap 2B Daily Screener,.github/workflows/minervini-sepa-marketcap2b-daily-screener.yml,active,2026-06-20T19:42:57.000+02:00,2026-06-20T19:42:57.000+02:00
299435895,Minervini SEPA USA Europe 50M Daily Screener,.github/workflows/minervini-sepa-usa-europe-50m-daily-screener.yml,active,2026-06-20T20:28:10.000+02:00,2026-06-20T20:28:10.000+02:00
299653875,SPY Monthly Trend Following Paper21 355 Jobs,.github/workflows/spy-monthly-trend-following-paper21-355jobs.yml,active,2026-06-21T12:10:13.000+02:00,2026-06-21T12:10:13.000+02:00
299665383,SPY Monthly TF21 MA10 Locked Table,.github/workflows/spy-monthly-tf21-ma10-locked-table.yml,active,2026-06-21T12:52:06.000+02:00,2026-06-21T12:52:06.000+02:00
299820555,.github/workflows/free-global-yahoo-daily-data-lake.yml,.github/workflows/free-global-yahoo-daily-data-lake.yml,active,2026-06-21T21:32:31.000+02:00,2026-06-21T21:32:31.000+02:00
300066557,Global Technical Buy Indicator 355 Jobs,.github/workflows/global-technical-buy-indicator-355jobs.yml,active,2026-06-22T11:18:48.000+02:00,2026-06-22T11:18:48.000+02:00
300217510,TradingView Minervini Indicator Small,.github/workflows/tradingview-minervini-indicator-small.yml,active,2026-06-22T15:51:49.000+02:00,2026-06-22T15:51:49.000+02:00
300433905,Global Technical Buy Indicator Final Recheck,.github/workflows/global-technical-buy-indicator-final-recheck.yml,active,2026-06-22T22:30:52.000+02:00,2026-06-22T22:30:52.000+02:00
300460001,Global Technical Buy Indicator Final Recheck Parallel,.github/workflows/global-technical-buy-indicator-final-recheck-parallel.yml,active,2026-06-22T23:32:35.000+02:00,2026-06-22T23:32:35.000+02:00
301040582,Global Technical Buy Indicator External Pack 360 Jobs,.github/workflows/global-technical-buy-indicator-external-pack-360jobs.yml,active,2026-06-23T21:05:48.000+02:00,2026-06-23T21:05:48.000+02:00
302572659,.github/workflows/global-technical-buy-indicator-external-pack-1800jobs.yml,.github/workflows/global-technical-buy-indicator-external-pack-1800jobs.yml,active,2026-06-26T09:24:24.000+02:00,2026-06-26T09:24:24.000+02:00
303595841,Global Technical Buy Indicator V5 Event First Smoke,.github/workflows/global-technical-buy-indicator-v5-smoke.yml,active,2026-06-28T16:18:14.000+02:00,2026-06-28T16:18:14.000+02:00
311819876,Stock Protocol 36 Tests 360 Jobs,.github/workflows/stock-protocol-36-tests-360jobs.yml,active,2026-07-12T20:14:49.000+02:00,2026-07-12T20:25:12.000+02:00
313475704,Stock Protocol 36 Tests Finalize Recovery,.github/workflows/stock-protocol-36-tests-finalize-recovery.yml,active,2026-07-15T07:31:42.000+02:00,2026-07-15T07:31:42.000+02:00
314400049,Stock Protocol Scientific Tests,.github/workflows/stock-protocol-scientific-tests.yml,active,2026-07-16T14:11:41.000+02:00,2026-07-16T14:11:41.000+02:00
314481404,Stock Protocol Scientific Rebuild 360 Jobs,.github/workflows/stock-protocol-scientific-rebuild-360jobs.yml,active,2026-07-16T16:16:00.000+02:00,2026-07-16T16:16:00.000+02:00
314493491,Stock Protocol Scientific Full Suite,.github/workflows/stock-protocol-scientific-full-suite.yml,active,2026-07-16T16:33:46.000+02:00,2026-07-16T16:33:46.000+02:00
314524305,Stock Protocol Scientific Recovery 360 Jobs,.github/workflows/stock-protocol-scientific-recovery-360jobs.yml,active,2026-07-16T17:18:46.000+02:00,2026-07-16T17:18:46.000+02:00
314623230,Stock Protocol Scientific Finalize Existing Run,.github/workflows/stock-protocol-scientific-finalize-existing-run.yml,active,2026-07-16T20:00:17.000+02:00,2026-07-16T20:00:17.000+02:00
314687217,Stock Protocol Scientific Full Universe 360 Jobs,.github/workflows/stock-protocol-scientific-full-universe-360jobs.yml,active,2026-07-16T21:58:41.000+02:00,2026-07-16T21:58:41.000+02:00
317461210,Stock Protocol Original 290 Event Study Core,.github/workflows/_stock-protocol-original-290-event-study.yml,active,2026-07-21T15:40:45.000+02:00,2026-07-21T15:40:45.000+02:00
317461417,Stock Protocol Original 290 Opportunity Event Study,.github/workflows/stock-protocol-original-290-event-study.yml,active,2026-07-21T15:40:57.000+02:00,2026-07-21T15:40:57.000+02:00
317703182,Stock Protocol Original 290 Opportunity Event Study Recovery,.github/workflows/stock-protocol-original-290-event-study-recovery.yml,active,2026-07-21T22:11:01.000+02:00,2026-07-21T22:11:01.000+02:00
317985293,Stock Protocol Original 290 Opportunity Event Study Merge Only,.github/workflows/stock-protocol-original-290-event-study-merge-only.yml,active,2026-07-22T09:32:32.000+02:00,2026-07-22T09:32:32.000+02:00
318127431,Stock Protocol Original 290 Event Study Checkpointed,.github/workflows/stock-protocol-original-290-event-study-checkpointed.yml,active,2026-07-22T13:53:37.000+02:00,2026-07-22T13:53:37.000+02:00
320098103,Stock Protocol Original 290 Event Study Finalize Recovery,.github/workflows/stock-protocol-original-290-event-study-finalize-recovery.yml,active,2026-07-25T07:35:52.000+02:00,2026-07-25T07:35:52.000+02:00
320205203,GitHub Performance CI,.github/workflows/github-performance-ci.yml,active,2026-07-25T12:35:14.000+02:00,2026-07-25T15:49:02.000+02:00
320254506,GitHub Performance Policy,.github/workflows/github-performance-policy.yml,active,2026-07-25T14:16:23.000+02:00,2026-07-25T15:49:03.000+02:00
320290657,Aurora Future Run v3,.github/workflows/_aurora-future-run-v3.yml,active,2026-07-25T15:49:02.000+02:00,2026-07-25T15:49:02.000+02:00
320290659,GitHub Performance Benchmark,.github/workflows/github-performance-benchmark.yml,active,2026-07-25T15:49:02.000+02:00,2026-07-25T15:49:02.000+02:00
320290661,GitHub Performance Reference,.github/workflows/github-performance-reference.yml,active,2026-07-25T15:49:03.000+02:00,2026-07-25T15:49:03.000+02:00
320727704,Aurora Merge Level V3,.github/workflows/_aurora-merge-level-v3.yml,active,2026-07-26T13:52:56.000+02:00,2026-07-26T13:52:56.000+02:00
320727705,Aurora Recovery Plan v3,.github/workflows/_aurora-recovery-plan-v3.yml,active,2026-07-26T13:52:56.000+02:00,2026-07-26T13:52:56.000+02:00
320727707,Aurora Retry Shard v3,.github/workflows/_aurora-retry-shard-v3.yml,active,2026-07-26T13:52:56.000+02:00,2026-07-26T13:52:56.000+02:00
320727709,GitHub Performance Merge Only,.github/workflows/github-performance-merge-only.yml,active,2026-07-26T13:52:56.000+02:00,2026-07-26T13:52:56.000+02:00
320727710,GitHub Performance Replan,.github/workflows/github-performance-replan.yml,active,2026-07-26T13:52:56.000+02:00,2026-07-26T13:52:56.000+02:00
320727711,GitHub Performance Workload Validation,.github/workflows/github-performance-validation.yml,active,2026-07-26T13:52:56.000+02:00,2026-07-26T13:52:56.000+02:00
323189363,GTBI V7 Master Plan Quality,.github/workflows/gtbi-v7-master-plan-quality.yml,active,2026-07-29T20:28:40.000+02:00,2026-07-30T09:26:40.000+02:00
323546210,GTBI V7 Emergency Preservation Inventory,.github/workflows/gtbi-v7-inventory.yml,active,2026-07-30T09:26:40.000+02:00,2026-07-30T09:26:40.000+02:00
